Date,Time of day,Total (grid load)[MWh]
May-09,12:00,10821
May-09,13:00,10412
May-09,14:00,10217
May-09,15:00,10277
May-09,16:00,10548
May-09,17:00,11341
May-09,18:00,12974
May-09,19:00,14577
May-09,20:00,15575
May-09,21:00,15868
May-09,22:00,16540
May-09,23:00,16205
May-09,0:00,16284
May-09,1:00,16206
May-09,2:00,15795
May-09,3:00,15640
May-09,4:00,15432
May-09,5:00,15232
May-09,6:00,15390
May-09,7:00,15382
May-09,8:00,15120
May-09,9:00,14832
May-09,10:00,14219
May-09,11:00,13110
